article,article_txt,mtb_merch_category_level1,mtb_ah_level1_txt,mtb_ah_level2_txt,mtb_ah_level3_txt,mtb_ah_level4_txt,mtb_ah_level5_txt,mtb_ah_level6_txt,mtb_ah_level7_txt,sellin_invoiced_eur_aar
MBMX007KT7,PUSH STA 42 STL pol D.h 3.7,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,157.02
MB1113600,M25738 BP Body black pre-assembled_ASS,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN SLEEVE,PEN SLEEVE,823.840288777
MBMX001DJG,BTE STAR GM GILT Q,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,WATCH COMPLETE CASE,570.619072863
MBMXE08W3Z,BKLE FOR ARD OR CLASP ST POL,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,BRACELET,OTHER BRACELET & CLASP COMPONENTS,20.918578456
MB1119018,M25003 BP rotary mechanism complete BUY,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN MECHANISM,PEN MECHANISM,170.966291711
MBMXE07XDC,QTZ MVT MB 2106 CHRH1 AP.4H,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,NON REFURBISHABLE MOVEMENT / LOCAL SCRAP,908.14711216
MBMX005MKD,PUSH 5N GLD,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,1209.566595222
MBMX0023J2,CRACKED PIN STEEL D=1.0 L=21.35,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,PIN,27.68
MBMXE03ZJX,BKLE FOR DEPL ST POL LI=18,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,BRACELET,OTHER BRACELET & CLASP COMPONENTS,1186.705723152
MBMX007KC5,BCK w/scrw fxd STA 36 AC 7237,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,BACKCASE,64.364856788
MB130326,WHITE BOX WATCH 2021,,MONTBLANC,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PKG WA,PKG WA,-95.540339238
MB134463,MST Squared Silver Col Frame Sunglasses,,MONTBLANC,EYEWEAR,EYEWEAR,EYEWEAR,EYEWEAR,EYEWEAR,EYEWEAR,2165.048514934
MB1067082,Earring back_Butterfly starshaped_silver,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,JEWELLERY SPARE PARTS,JEWELLERY SPARE PARTS,JEWELLERY SPARE PARTS,54.823529824
MB119734,4810 WST Wallet 13cc zip around blackXB,,MONTBLANC,LEATHER,SMALL LEATHER GOODS,SMALL LEATHER GOODS,SMALL LEATHER GOODS,OTHERS SLG,OTHERS SLG,88.84
MBMX007SNB,CLAMP ST DURN,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,CLAMP,61.812428394
MB132716,MB Sartorial 2-Pen Pouch BrGrXB,,MONTBLANC,LEATHER,SMALL LEATHER GOODS,SMALL LEATHER GOODS,SMALL LEATHER GOODS,SARTORIAL SLG,SARTORIAL SLG,114.531424869
MB131523,JW Service Guide Cream,,MONTBLANC,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PKG JW,PKG JW,14.397976017
MBMX001DK1,BTE STAR GM GILT A,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,WATCH COMPLETE CASE,829.788139625
MBMX001QRW,HAND CAP SUMMIT LAIT RH D.INT=0.2     AA,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,DECORATION,70.801342468
MBMX0066NZ,pol STL D4.0 SPO 44 scrwd PUSH,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,49.623153143
MBMX0001Z6,MVT QU ETA  956.112 H3 GU6H DSC-BC,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,NON REFURBISHABLE MOVEMENT / LOCAL SCRAP,37.009792653
MB1106905,M25723 FP screw pt_GAL,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN SCREW,PEN SCREW,11.263849938
MBMXE084WX,PUSH ST,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,90.390603953
MBMX004L36,BRIDE EMBOI GALBE AC 0.25,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,CLAMP,11.962388787
MBMX002QMG,BACK SCREW STEEL 7069,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,BACKCASE,167.171008678
MBMX00329W,BACK STAR 40MM ST,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,BACKCASE,162.432964292
MBMX001F3D,BRIDE EMBOI PLATE AC NICK 0.4,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,CLAMP,16.091214197
MBMX007SHT,QTZ MVT MB 2101 STANDH1 AP.6H,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,NON REFURBISHABLE MOVEMENT / LOCAL SCRAP,105.428142754
MB1031517,Screw M25100,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN SCREW,PEN SCREW,12.801189272
MB1066301,Feeder case M28903,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,155.888897809
MBMX006SVF,DISK DATE NONWHIT DECAL BLCK 3H BRS,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,DISK,87.524606833
MBMX005QPB,qtz TTP H5 ALRIN 678 MVT,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,CLOCK SPARE PARTS,CLOCK SPARE PARTS,COMPLETE MOVEMENT (CLOCK),323.238118878
MB1131396,Watches Service-Zertifikat,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,OTHER WATCH COMPONENTS,0.328064369
MBMXE07XC5,QTZ MVT 4810 106 CHRH1 AP.4H,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,NON REFURBISHABLE MOVEMENT / LOCAL SCRAP,291.156870488
MB6638,BRACELET w/ WATCH Pres.Dragon,,MONTBLANC,JEWELLERY,MEN'S ACCESSORIES,MEN'S ACCESSORIES,MEN'S ACCESSORIES,BRACELETS,BRACELETS,20914.26196626
MB1095481,Ladies Jew. Authenticity Cert. big 08,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,JEWELLERY SPARE PARTS,JEWELLERY SPARE PARTS,JEWELLERY SPARE PARTS,1.631253572
MBMX006MHN,ORNAMENT TMW 43 AC pol,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,DECORATION,71.8136321
MBMX00605C,pol STL DB NUT tap 1.2,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,BRACELET,OTHER BRACELET & CLASP COMPONENTS,10.87
MB132003,UG AUTO FULL CALENDER,,MONTBLANC,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PKG WA,PKG WA,-0.000674661
MBMX00211H,PIN NOTCH ST LG=23.1,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,PIN,11.402588951
MBMX003RJZ,BACK SUMMIT ST,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,BACKCASE,101.144774953
MBMX006SVB,DISQ J/N BC DEC BL GU9H,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,DISK,134.199506975
MBMX007RND,CORRECT STA 42 STL pol,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,311.357847824
MB1116341,M25816 BP twist mechanism complete BUY,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN MECHANISM,PEN MECHANISM,39.808319188
MB1069687,Feeder case M25535,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,14.51
MBMX000VX5,Casing ring LM Sport,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CASING RING,20.918578456
MB1118684,M28515 BP twist mechanism BUY,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN MECHANISM,PEN MECHANISM,4.505539975
MBMX003405,CLASP TRIP XL ST,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,BRACELET,OTHER BRACELET & CLASP COMPONENTS,53.465827437
MB1101735,Twist mechanism M164,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN MECHANISM,PEN MECHANISM,24819.646640393
MBMX000WXD,DISQ QUANT NOIR MAT MVT ETA7750,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,DISK,16.091214197
MB1098393,Ink feeder_old M144,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,5291.32605965
MBMX002TPT,PUSH STEEL S1.4435 TETE=4.5,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,737.069529232
MB1028650,Ink feeder M147,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,127.304080277
MB130657,FP GCH Great Gatsby SE M,,MONTBLANC,WRITING INSTRUMENTS,WI LIMITED EDITIONS,GREAT CHARACTERS,GREAT CHARACTERS,GREAT GATSBY SE,GREAT GATSBY SE,175032.887049597
MB130656,FP GCH Great Gatsby SE F,,MONTBLANC,WRITING INSTRUMENTS,WI LIMITED EDITIONS,GREAT CHARACTERS,GREAT CHARACTERS,GREAT GATSBY SE,GREAT GATSBY SE,130298.442484479
MB134333,RB PIX Orange Pt,,MONTBLANC,WRITING INSTRUMENTS,WI CORE LINES,WI PIX,WI PIX,WI PIX,WI PIX,60417.884741011
MBMX005RS4,pol STL DB NUT tap 1.2,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,BRACELET,OTHER BRACELET & CLASP COMPONENTS,50.572387476
MBMXE03H4G,BTE HCH 40 ST-POL AU-AU,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,WATCH COMPLETE CASE,392.704125652
MB134911,FP MST 149 Gold Kiki Djunaedi #2880 Besp,,MONTBLANC,WRITING INSTRUMENTS,WI CORE LINES,WI MEISTERSTÜCK,MEISTERSTÜCK BESPOKE NIB,MEISTERSTÜCK BESPOKE NIB,MEISTERSTÜCK BESPOKE NIB,2910.797734327
MBMX005QH6,CLASP TRIP LM ST,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,BRACELET,OTHER BRACELET & CLASP COMPONENTS,740.519170417
MB134968,FP MST 149 Pl. R. Dreyer #3010 Bespoke,,MONTBLANC,WRITING INSTRUMENTS,WI CORE LINES,WI MEISTERSTÜCK,MEISTERSTÜCK BESPOKE NIB,MEISTERSTÜCK BESPOKE NIB,MEISTERSTÜCK BESPOKE NIB,2891.821065698
MBMX007TZN,BACK NORM ST POL,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,BACKCASE,82.781274567
MBMX0033QH,CAS. RING BLACK PLASTIC,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CASING RING,2.223257072
MB197040,"Corp. Gift Pers. Nr. 040, BOX 4918605",,MONTBLANC,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PKG WI,PKG WI,152.42
MBMX006ML5,hammer SPRING 7750-53-54,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,SPRING,16.091214197
MBMX000SRR,Movement LM/MM Sport,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,NON REFURBISHABLE MOVEMENT / LOCAL SCRAP,281.96149107
MB1061975,Feeder case M149,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,1020.154095387
MB1063171,Ink feeder M25600,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,7636.664384124
MBMX000HKX,CLASP TRIP MM ST,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,BRACELET,OTHER BRACELET & CLASP COMPONENTS,541.932160465
MBMX000VV2,Pusher set Sport XL,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,204.064856788
MBMXE0DB6Q,PUSH HEAD ST POL,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,53.28
MBMX006MXV,BRIDGE barel emp NI col 2892-93-97,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,"BRIDGE, PLATE",61.146613948
MB132985,Tie Bar GC Great Gatsby,,MONTBLANC,JEWELLERY,MEN'S ACCESSORIES,MEN'S ACCESSORIES,MEN'S ACCESSORIES,SMALL ACCESSORIES,SMALL ACCESSORIES,5725.247349992
MB132560,MB Sartorial Envelope Pouch PPocket BkXB,,MONTBLANC,LEATHER,MEDIUM LEATHER GOODS,MEDIUM LEATHER GOODS,MEDIUM LEATHER GOODS,SARTORIAL MLG,SARTORIAL MLG,437.5
MB119205,MBSartorial Wallet8cc CoinC Zip Bk XB,,MONTBLANC,LEATHER,SMALL LEATHER GOODS,SMALL LEATHER GOODS,SMALL LEATHER GOODS,SARTORIAL SLG,SARTORIAL SLG,81.61
MBMX0091Z4,QTZ MVT MB 2113 MPH1 AP.6H,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,NON REFURBISHABLE MOVEMENT / LOCAL SCRAP,0
MBMXE0CZH4,CLASP TRIP M ST,,MONTBLANC,RAW+WIP (ONLY FOR STOCKS),RAW+WIP - COMPONENTS,RAW+WIP - COMPONENTS,RAW+WIP - CO WATCHES,RAW+WIP - CO WATCHES,RAW+WIP - CO WATCHES,60.29
MBMX001KVS,CLASP TRIP XL ST,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,BRACELET,OTHER BRACELET & CLASP COMPONENTS,43.446278332
MBMXE06VL2,HANDS SET RH BRS H-MIN-TZ2,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,CLOCK SPARE PARTS,CLOCK SPARE PARTS,HAND,39
MB1028961,Ink feeder_old M114,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,1532.852931561
MB1028361,Ink feeder M146,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,4907.282080666
MBMXE0CKQQ,PUSH ST,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,1031.588823561
MBMX001DD8,ST MEIST LM FIXAT BACK,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,BACKCASE,121.49378571
MB1112811,M25825 BP twist mechanism Ni buy,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN MECHANISM,PEN MECHANISM,78.874489124
MB1113599,M25741 RB Cone coral pre-assembled_ASS,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,CAP RING,CAP RING,352.715425791
MB1026011,O-Ring NBR70 BUY,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN RING,PEN RING,12.182303396
MBMX000GJ7,Back Chrono XL PVD,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,BACKCASE,143.86
MBMX0001Z2,MVT QU ETA  956.412 H1 GU6HCARE DSC-BC,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,NON REFURBISHABLE MOVEMENT / LOCAL SCRAP,65.549684084
MB133234,STRAP_STL_39_RE-CA_19.0_XS,,MONTBLANC,ACCESSORIES/CONSUMABLES,ACCESSORIES/CONSUMABLES,ACCESSORIES/CONSUMABLES,CO WATCHES,CO WATCHES MB,STRAPS,376.368287584
MBMXE06NB3,CASE MTB 1858 BRZ-ST 44,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,WATCH COMPLETE CASE,642.039446462
MB133645,STRAP_STL_43_BK-CA_21.0,,MONTBLANC,ACCESSORIES/CONSUMABLES,ACCESSORIES/CONSUMABLES,ACCESSORIES/CONSUMABLES,CO WATCHES,CO WATCHES MB,STRAPS,151.311365659
MB4900701,MJ Giftbox Cuff Links,,MONTBLANC,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PKG JW,PKG JW,477.28356933
MBMXE0CTM0,SPG DIFF ST,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,SPRING,0.643648568
MB131626,MST UNI ATW80DY2 Leaflet,,MONTBLANC,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PKG WI,PKG WI,2.09
MB116041,STRAP ALLIG WHIT XS FOR ARDI,,MONTBLANC,ACCESSORIES/CONSUMABLES,ACCESSORIES/CONSUMABLES,ACCESSORIES/CONSUMABLES,CO WATCHES,CO WATCHES MB,STRAPS,519.897662996
MB9564,Reporter Bag WST bk,,MONTBLANC,LEATHER,MEDIUM LEATHER GOODS,MEDIUM LEATHER GOODS,MEDIUM LEATHER GOODS,OTHERS MLG,OTHERS MLG,-317.63
MB133270,STRAP_185_43_GN-CA_22.0,,MONTBLANC,ACCESSORIES/CONSUMABLES,ACCESSORIES/CONSUMABLES,ACCESSORIES/CONSUMABLES,CO WATCHES,CO WATCHES MB,STRAPS,157.018511857
MBMXE03RX8,CORRECT RND ST POL D=2.0,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,370.60454047
MBMX006421,DISQ QUANT AG DEC NOIR GU12H,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,DISK,16.091214197
MBMXE06W97,HANDS SET BR H-MIN-S,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,CLOCK SPARE PARTS,CLOCK SPARE PARTS,HAND,40.917444056
MB1113629,HER Feder 14K M R&N rho YG,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,-106.816680008
MB1061977,Feeder case M22146,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,4.505539976
MB1021580,GEN FP/RB cap packing,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,CAP PACKING,CAP PACKING,280.81559291
MBMX001HV8,MVT QU ETA 955.112 H1 GU3H DSC-BC,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,NON REFURBISHABLE MOVEMENT / LOCAL SCRAP,177.47170094
MB1024864,Feeder case M145,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN FEEDER,PEN FEEDER,231.101599006
MBMX005HWH,WEIGHT OSCILL ASS BRS RH GENEVA WAV,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,OSCILATING WEIGHT,1513.887858389
MBMX000MS3,Montblanc logo steel MM,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,DECORATION,21.335488019
MB127964,FP Cinema LE 74 Western MoP,,MONTBLANC,WRITING INSTRUMENTS,WI ARTISAN & HIGH ARTISTRY,WI HIGH ARTISTRY,HIGH ARTISTRY (<100),HIGH ARTISTRY (<100),HIGH ARTISTRY (<100),312148.170953581
MB131379,FP 149 MST Call InspWri Artisan LE88,,MONTBLANC,WRITING INSTRUMENTS,WI ARTISAN & HIGH ARTISTRY,ARTISAN EDITIONS,ARTISAN EDITIONS,MST - 100Y ARTISAN LE 100 / LE 88,MST - 100Y ARTISAN LE 100 / LE 88,495388.791836491
MB134945,FP 146 Sol BH V.C.S. #2976 Bespoke,,MONTBLANC,WRITING INSTRUMENTS,WI CORE LINES,WI MEISTERSTÜCK,MEISTERSTÜCK BESPOKE NIB,MEISTERSTÜCK BESPOKE NIB,MEISTERSTÜCK BESPOKE NIB,4961.044064854
MB195824,"Corp. Gift. Pers. Nr. 824, BOX 4918605",,MONTBLANC,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PKG WI,PKG WI,258.25
MBMXE0813L,KIT CLIQ - RACK MB TIMEWALKER 43 PLAS,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,OTHER CASE ELEMENTS (NON IN COMMON LIST),102.679042254
MB131489,Warranty Card English,,MONTBLANC,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PKG WA,PKG WA,5.144811425
